Date,Entry
09-Feb-21,"With yet a further reduction in vaccine doses to be delivered to Canada over the next two months, and with our federal government trying to obtain supplies from an agency set up to help “developing countries,” I think it is safe to say—albeit in so doing one is contributing to the noise, as Mr. Trudeau calls it—that our country’s strategies for obtaining vaccine doses on the world market are, at best, faltering.To be honest, this was always going to be a tough row to hoe, having to depend on manufacturing companies located in foreign countries to export from those same countries doses that they desperately need for their citizens, to Canada.Europe, where a large per-centage of the Pfizer vaccine is made, has a death toll approaching 800,000, with some individual countries seeing fatality numbers of over 1000 a day. The E.U. has now set in place a means to oversee exports, and will make sure their needs come first. We can’t really blame them for that kind of thinking. The U.S., where Moderna currently has most of their present-day production, is seeing fatality numbers surpassing 3000 a day, and that country has already stated that American needs come first. Canada now ranks 33rd on the list of vaccinating countries on a per-capita bases. I believe it is going to get worse before it gets better.In the Niagara Region, total number of doses admin-istered is at 5374, with 568 people receiving shots last Friday. Almost 22 percent of residents living in long-term care homes have received their second shot. We also saw nearly a doubling in our new cases, going from 34 on Thursday to 61 on Friday. Pelham’s active cases continue to fall, now being at 27, with all of these residents self-isolating at home. One side eff ect of these lock-downs is the deteriorating state of our collective mental health. A health unit in Eastern Ontario has registered a 100 percent increase in infant abuse over the last year. This number would include head trauma, brain injury, and broken limbs. We all must do our part in reaching out to friends and family members, off ering support and friend-ship wherever we can.The number of new COVID-19 cases is trending down, for the most part, both provincially and nationally, so I am hopeful that if we do it slow-ly and carefully, we can ease some of these restrictions. Bundle up, get outside for some exercise and phone a friend.Mayor Marvin Junkin"
02-Feb-21,"News on the vaccine front took anoth-er disheartening turn this week when another drug maker announced that it would be reducing vaccine shipments to Canada by 20-25 percent. Moderna, a U.S.-based company, had originally agreed to ship 230,000 shots in the first week of February, with 249,600 shots to follow three weeks later. The company has revised the first-week shipment down to 180,000 shots.So far the overall target of 2,000,000 doses to be delivered by the end of March is still expected to be met; we will have to keep our fingers crossed on that one. This announcement came on the heels of the other major supplier to Canada, Pfizer, stating that it would be delivering roughly 80 percent fewer shots over the next four weeks than initially promised. This number could conceivably go even lower if the European Union introduces export controls on shots leaving that area.If the E.U. feels that they are not receiving a sufficient number of shots they can block exports to outside countries. On the Niagara front, total number of doses administered reached 3,993 as of Friday, with 103 people vaccinated on that day. All long-term care homes in Niagara have been vaccinated, and 42.9 percent of high-risk retirement home residents have had their shots. As for COVID-19 numbers, new daily cases in Niagara continue to hover around the 100 mark, give or take, with new cases on Jan 29 being at 91.Pelham’s active cases were at 35 on Sunday, with all reported cases self-isolating at home. Total number of deaths in the Region is at 311, every single death being one too many. The past week saw a bit of snow fall in town, with temperatures falling to seasonal lows. Perhaps this will be the extent of our winter, as temperatures are forecast to go above freezing, starting on Wednesday. It is great to see so many residents out walking, at any given time throughout the day. With the days getting longer and the sun’s heat getting stronger it is nice to say goodbye to January.Mayor Marvin Junkin"
26-Jan-21,"On the COVID-19 vaccine front, there has been some good news and some disheartening news. The good news is that some 264,000 doses have been administered across the province, with 2889 of those doses having been administered in Niagara Region. With these 2889 doses health-care officials have completed 100 percent of long-term care homes, and 7.1 percent of high-risk retirement homes. The disheartening news is that Canada will not be receiving any further vaccine doses next week from Pfizer-BioNTech, and promised deliveries will drop by 50 percent over the next four weeks.This delay in vaccine de-livery is being attributed to the manufacturer making upgrades to its production facilities. With the upgrades, the company will have the capacity to produce up to 2 billion doses a year. While this increased pro-duction bodes well for Canada getting future promised levels of the vaccine, it means that our vaccine rollout programs through-out the country will come to a stop, with all vaccine doses in the country having been administered. This unscheduled delay reinforces the fact that it was a great idea to have a risk/ priority distribution system in place, as our senior homes and front-line workers are getting all of the vaccine available.On the Regional front, Region Chair Jim Bradley has created a Community Coordination Task Force for COVID-19 vaccination. Chair of this task force is Dr. David Dec, who as chair, will also serve as this group’s primary community spokesperson. There are 20 community members on this taskforce and quite frankly such a large number makes me somewhat sceptical of its ability to react in a timely fashion to what is obviously a very fluid situation. That being said I wish them all the best going for-ward.Niagara’s new cases while dropping below 100 on Friday were over that number on Saturday, being 116, with 91 on Sunday. As we all know, the food service industry throughout the region is suffering tremendously under the lock-down rules. I was talking to a good friend who co-owns two restaurants in St Catharines. Their pre-COVID employee number was over 100 and now it is eight. Like most restaurants in the region they are hanging on with the business with their take-out service.All of Pelham Restaurants are in the same boat, so please consider ordering local when ordering take-out.Going back to last week’s column, I left out one number when discussing the Region’s funding for the proposed new hospital in Grimsby. The matrix that Regional staff designed—which, by the way, had no medical members involved in its formulation—called for the Region to contribute $9.07 million dollars to the hospital. The group spearheading the project was asking for $12.6 million. The three million dol-lar difference between these two numbers represent 0.3% of the Region’s yearly budget of $1 billion dollars. That was a lot of talking and posturing over such a small amount of our yearly budget, especially when it is for such a needed, worthy project. Such is life.Mayor Marvin Junkin"
19-Jan-21,"Well, well, the stars and the planets must have been perfect alignment this past week, because Marv the politician had a great week. Before I get into the details, let’s discuss our world of COVID-19. New Niagara cases on Friday, Jan. 15, totalled 152. This number was down con-siderably from the high of 467 from Monday, the 11th, but is distressingly higher than the generally under-30 new daily cases that we were getting in November, and early December. (This 467 number also included a backlog of cases not previ-ously reported.) As of Sun-day, the weekly average was 128 infections per day. While Regional hospital admissions have certain-ly increased during the last three weeks, our hospitals, thankfully, are not being pushed to their limits, as is the case in the “hotspots” of the Province. While our positivity per-centage has climbed to 6.3 percent, that same number in Brampton is over 17%. The news on the vacci-nation front is somewhat disheartening, but hope-fully will get better. As of last Wednesday, the total number of doses adminis-tered within the Region was 142. By Friday, that number had climbed to 608. With 460,000 residents in the Re-gion, this could take awhile! I have a lot of faith in our Public Health workers, so I am sure they will iron out the kinks and we will see a great improvement in the rollout.On a side note, Florida has made it a policy, at least ac-cording to its governor, that anyone over 65 will be given the vaccine, whether they be resident or non-resident. Many Canadian snowbirds have received the vaccine, a fact that isn’t setting well with some elderly full-time Floridians. I can see their point, but even more dis-turbing is the number of people fl ying into Florida for a day, getting the vaccine, then leaving right after get-ting poked. A jet service out of Toronto is reported-ly off ering a service similar to this for between $25,000 and $80,000. Thanks, but no thanks. I will somewhat patiently wait my turn. Okay, now the good news!Back last May, during a council meeting, I stated, somewhat optimistically, and some would say definitely pre-maturely, that I would not be happy with any property tax increase over two percent. I still re-member the startled look on Town staff faces. Well, folks, with the help of upper gov-ernment and their COVID-19 support payments, council last week passed both our capital and operating bud-gets, which will be serviced with a 1.98% property tax increase, coming as it does following increases of over 13% the last two years com-bined, which saw unavoid-able expenditures. The other good news came at the Region. The Mayor of Grimsby phoned last Thursday morning, asking if I would second a motion, asking the Re-gional government to sup-ply funding for the West Lincoln Memorial Hospital, to the tune of 21 percent of the publicly sourced funds. This project has been kicked around, and debated, for over 20 years. Unless I am reading public sentiment incorrectly, I believe that any money spent on health-care, especially when that project is a regional hospi-tal, is fully supported by our residents. Long story short, I did indeed second the mo-tion, spoke to its worth, and it passed. The Region will now kick in $12.7 mil-lion dollars to this project. Surely, after 20 years of talking, it is time for action. I say, “Get er done.”Mayor Marvin Junkin"
12-Jan-21,"I trust that everyone had a safe and enjoy- able holiday season. Thank goodness for the technology that allows us to see our loved ones in real time on our tech devices. Our oldest son is Down East, so we have ex- perienced this fi rst hand. Nothing replaces the hug of a loved one, but to see their smiles and facial expres- sions is the next best thing. Good news for this new year is that several coun- tries have begun the gigan- tic task of vaccinating their people. Britain, which was one of the fi rst countries to start the program, has now vaccinated over 1.1 million residents.They are hoping to reach 2 million people vaccinated a week, as they try to combat a new variant of the virus. Their number of new cases on a daily ba- sis has reached 60,000, and if that number becomes the norm, their hospitals will be overwhelmed. As of last Wednes- day, Canada ranked tenth in the world in doses giv- en per capi- ta, with most h ealthcare offi cials say- ing that we must increase our num- bers. As of last Wednes- day, Canada has given a least one shot to more than 193,000 people. As of Fri- day morning, Ontario had administered 87,653 total doses, with 4,053 people having been given both shots.Although no vaccine has arrived in Niagara yet, as of this writing Niaga- ra Health is expecting the fi rst shipment to arrive lo- cally sometime this week. As in all other areas of the province, workers in long term care facilities, re- tirement homes, as well as essential caregivers will be given priority treatment, along with the residents in these facilities. Niaga- ra Health will be running vaccination clinics from a temporary structure next to the Walker Family Can- cer Centre at their St. Cath- arines site. Please visit the Niagara Health website for more up to date details: niagarahealth.on.ca Of course, with the con- tinuance of the provin- cial lockdown the Town’s recreation centre re- mains closed to public use.Thankfully the weather so far this winter has been very conducive to walk- ing, with virtually no snow having fallen so far. The one major snowfall that has occurred hap- pened on Christmas Eve through to noon on Christ- mas day. Our roads de- partment started clearing our streets at three o’clock Christmas morning, went home for a few hours of gift-opening around 8 AM, then were out again to fi n- ish the job. On behalf of all Pelham residents, here is a big thank you, guys.Mayor Marvin Junkin"
22-Dec-20,"Congratulations! If you are reading this, then you have survived one crazy year! I can remember, like most Canadians, reading in January about some obscure virus happening in China that some alarmists were forecasting could conceivably go worldwide. Yeah, right! Three months later all of our lives were greatly altered. In the following, I will attempt to focus on Town business as it unfolded throughout the year, in spite of the virus causing everyone to keep adapting their plans. In January, council heard from the Bandshell Committee, telling us that the upgrades to Peace Park were completed, except for the new light standards, which had to be installed along the newly poured concrete path. The park had been re-graded, re-sodded, some trees removed, and electrical infrastructure installed. The new light standards were installed in the spring. Wow, are they nice! If you haven’t seen it already, please take a walk in the early evening, and enjoy the effect. H opefully, sometime in 2021, the park can be rocking! Also in January, I had a somewhat memorable meeting with the Library Board, with a sold-out, standing-room-only audience in attendance. I really enjoyed this meeting and I believe it was invaluable in opening up long-needed communication between the Library Board and council. We actually had plans to meet in a roundtable discussion to find more common ground and continue to communicate, but COVID-19 dashed these plans. However, the Town CAO and I have had two very productive meetings with the Library Acting CEO, Amy Guilmette, and the Board Chair, Nicole Nolan. These talks are ongoing and I believe that sometime in the new year the Library Board will have an announcement to make. In April, all of Pelham residents were saddened to learn of the passing of first-term Councillor Mike Ciolfi. He was a great councillor and an even better person. His presence is sadly missed at council. Like all businesses and local governments, Pelham was headed into a two-week lockdown, forcing management to have a hard look at laying off s taff. Altogether, senior management laid off 32 workers for varying amounts of time. Thankfully, by summer they were all back on the job. Even with the lockdown, Planning staff continued to process building applications so that area builders were ready to go when restrictions were lifted. The housing market has remained strong in Pelham throughout the summer, and by the end of December the Town will be on track to have issued a comparable number of building permits this year as last. This strong growth in house construction is projected to continue through 2021. In the spring, Town staff and the new union representing the Town’s outside workers signed a first-time collective bargaining agreement. It was a tribute to both sides that an agreement was made satisfactory to both parties while remaining on amicable terms. Land sales in East Fonthill continued throughout the year, totalling some $5.3 million dollars. This money all went to pay back the bridge loan that the Town had taken out to cover the construction cost of the community centre. Also sold in the fall was the old arena site for $2.5 million dollars. Having both ice rinks open for the summer was both financially rewarding and again a sign of the diligence of Town staff to get the Town assets open for our citizens both quickly and safely. Many municipalities that usually had summer ice in years gone by did not open their facilities this summer. Pelham also ran day camps for children, offering the kids a token bit of normalcy and no doubt giving stressed-out parents a badly needed break. In early fall, Pelham, like all other municipalities, received a COVID-19 compensation payment, part of a $4 billion dollar fund provided by the federal government. This payment was to compensate the municipalities for the extra cost of COVID-19, such as cleaning and sanitizing expenses, along with any revenue that had been lost to date. A second payment, to be made before Christmas is pending. In the fall, council awarded the tender to fix Sulphur Spring Drive to a local contractor. At the urging of council, this contract was a design build, meaning that the contractor will be responsible for not only the construction of this project, but also for the design. Bill Duffin, the contractor who was awarded the contract, is also the contractor that designed and built the wall that has successfully held back the hill on the old number 8 highway, between Jordan and Vineland. According to Bill, “That hill hasn’t moved an inch since I put the retaining wall up in 1991.” I believe the project of Sulphur Spring Drive is in good hands. This project is slated to be completed by the autumn of 2021. When fall arrived this year, that was when the Town’s finance department started to put the finishing touches on the budget for next year. I had stated back in late spring that I would not be happy with a budget that had a property tax increase greater than 2%. The proposed Town budget, if passed in January by council, allows for an increase of 4.7%. However, the virus and its effects are responsible for 2.8% of the increase. Next year, if we can eliminate many of the costs associated with COVID-19— plus hopefully gypsy moths will be on a downward cycle—I am confident that we can bring in a 2% or less increase. One other step council has taken is the hiring of a Town Solicitor. Jennifer Stirton will be shared among the municipalities of Fort Erie and Wainfleet. We as a Town simply cannot afford to continue to pay $750/hour for legal advice on the cannabis issue, or any other issue for that matter. The Region is aiming to bring in a 2% tax increase, and by deferring some capital projects this goal appears to be achievable. Restaurants in the Town, like restaurants across the Region, are feeling the financial crunch of COVID-19. Please give them as much business as you can, be it take-out, or dining in with family members. I can assure all residents that you have a group of highly motivated professionals working for you inside Town Hall. In two years as your Mayor, I continue to find this job very interesting and very rewarding. It’s an honour to be your representative at Regional Council and at all official functions that I attend. That being said, they are days that I long for yesteryear when a stubborn Holstein was my biggest problem. Merry Christmas to all, and may the New Year bring you and yours much happiness. Mayor Marvin Junkin"
15-Dec-20,"It has now been announced that Ontario will administer its first COVID-19 vaccines December 15 at two hospitals in Toronto and Ottawa. The first people to receive the vaccines will be healthcare workers at long-term homes, and other high-risk places. While the vaccine will alleviate much of the need for physical distancing and masking long term, it won’t immediately end these public health measures. Herd immunity, which refers to a large proportion of the community being immune to contracting the virus, has to hit 70% in order for COVID-19 to be manageable. This level will take months to reach, depending on just when the shipments of vaccines arrive. Also, it is still unknown whether the vaccines prevent somebody from becoming infected and spreading it forward. The worry being that if people are vaccinated, and they can still spread it, then the risk remains to the people who aren’t vaccinated. Of course the big question remains — how long the vaccine will offer immunity from the virus. Here at home, the Niagara Public Health unit has made it be known that they would consider our community centre to be an ideal vaccination point, because of its size and its central location. As of this writing they had not yet appeared on site for an in-depth inspection. Just when we thought they might have been starting to drop, there have been new cases. There were 20 last Wednesday, and last Thursday that number shot up to 36. With this big increase, our reproductive number is now over 1, at 1.2, as of Dec. 10. Our hospitals are still good, with 85.6% of their beds currently occupied, below the target numbers of 90%. Our positivity test number is 1.7%, meaning that of the 8000-9,000 tests done every week by Regional Health, only 1.7% are positive, The provincial average is over 5%, while parts of Alberta, their worst parts, were testing over 41%. On Saturday, a rather strange event took place in Fenwick. Well, when I say strange, everything this year is relative, so maybe this event wasn’t that strange. I am talking about the reverse Santa Clause Parade, which as its name implies, saw floats remaining stationary and the people/kids driving by in cars. Although somewhat damp, and while it sounds somewhat bizarre, rest assured, everyone had a fun time. A huge thank you to the Fabulous Fenwick Lions and the Town’s Recreationl Department. Jennifer Dube dropped me a line with the final stats of the Pelham Cares food drive. The bad news was food donations were down 35%. The great news was that monetary donations were up a whopping 60%. T o m ake t his d rive a success, 60 volunteers were scheduled each week in 3.5 hour shifts, for a total of approximately 300 volunteers. Only in Pelham, I say! Thanks to all the donors and volunteers! With the success of this event we gave the virus a darned good kicking.Mayor Marvin Junkin"
08-Dec-20,"What great news! Several companies have completed testing of their vaccines and have either gotten approval of their product for large- scale human use or this approval is imminent. Britain will reportedly receive 800,000 doses of vaccine shortly from Biotech/Pfizer and will start to administer the vaccine immediately to its citizens. Canadian health authorities could approve Biotech/Pfizer for Canadian use within the next week, thereby allowing distribution to start in early 2021. If this timetable stays in effect, then Canada should receive some 6 million doses in the first quarter of 2021, enough for 3 million of Canada’s 38 million population. Officials have said healthcare workers and the elderly will receive vaccines first, with complete guidelines on who else will be first in line. This information will be forthcoming in the near future. In a country such as ours that has such a large geographical area, the rollout of the vaccines will be one of the most complex logistical undertakings in Canada’s history. The distribution of Pfizer’s vaccine is made much more complex because they need to be stored at ultra-cold temperatures, that being at -80°C. Canada has had to go to the marketplace for 26 ultra-cold freezers, with the capacity for each freezer holding 280,000 doses. It is not public knowledge if these freezers are all situated throughout the country or not. On the local scene, Niagara Region continues to keep its designation of Orange-Restrict, even though our number of new cases has been consistently above 20 for the last week. Our reproductive number being at 1, is also inching upwards. The relatively better news is that the number of COVID-19 cases that test positive is at 1.7 percent, while the province’s average is over 5 percent. Pelham has six current cases with all of these individuals practicing home isolation. Some 93 percent of the Region’s cases are also practicing home isolation with the remaining 6.5 percent being hospitalized with a very small number being admitted to ICUs. It is with only a very small number being hospitalized that has kept us in our present designation. The Region continues to test between 8,000 to 9,000 residents weekly. Please help out our volunteer firefighters at Station 1 who are having a toy drive taking place between December 5 through to December 13. Also requested besides toys for children, are cans of pet food for our furry companions. Items can be dropped off during the week and also on the weekend until 7 PM. Station 1 is located at 177 Highway 20 West in Fonthill, across from the Lookout Ridge apartments. Mayor Marvin Junkin"
01-Dec-20,"Last Friday the province processed 58,000 COVID-19 tests. Coinciding with this record number, the province reported a record high 1,855 new cases of COVID-19, also on Friday. The seven-day average for the province also reached a record high of 1,489, which is the highest seven-day number since the first confirmed infection was reported in Ontario in late January. Niagara continues to maintain its orange-restrict range although the core numbers used in determining the rating remain precariously close to the next rating: red-protect. Our number of new cases per day remains in the high teens or higher, and it is this number, I suspect, that prohibits Dr. Hirji from rescinding his family-members-only section 22 for patrons dining in a restaurant. The good news for the Region is that the vast majority of COVID cases—nearly 97 percent—self-isolate at home, with less that 1% admitted to intensive care. All Pelham cases are self-isolating at home with two active cases currently within the Town. One matter that has recently been brought to the Town’s attention is the rental of ice time at the MCC by out-of-region teams. On Monday morning senior staff and the CAO discussed the situation and did indeed find that bookings were made by groups from red zones outside our Niagara health zone. From now on, any booking identified as being from such zones will be cancelled. The North Pelham Youth Association is currently conducting a fundraising campaign. Donations can be made on the Canada Helps website, and made in memory of or in recognition of others. The Association was recently featured in a Voice article and is striving to bring its hall up to current accessibility standards along with a general face-lift. Until next time…Mayor Marvin Junkin"
24-Nov-20,"As Niagara Region inches closer to a Red-control designation, Toronto and Peel regions have been put into lockdown. These lockdowns, among other restrictions, will shutter salons and gyms, and force restaurants to provide take-out only, as indoor and outdoor dining at restaurants is banned. Retail businesses and department stores not selling essential items will only be allowed to open for curbside pickup and delivery, with customers not allowed inside. Schools and daycares will remain open. The lockdown began this Monday, and is scheduled to last 28 days. To help businesses affected by the lockdown, the Ford government has set aside $600 million to help with fixed costs, such as property taxes and hydro bills. Back in Niagara, we have seen 117 new infections since last Thursday, with 36 on Saturday alone. Last week the Acting Medical Officer of Health, Dr. Hirji, issued orders that restaurants will be required to confirm patrons dining at tables were of the same household. All councillors of Regional government were inundated with emails from restaurant owners doing business within the region, claiming that they were being singled out by these orders, and these restrictions would force them ever closer to bankruptcy. Regional Council held an emergency meeting last Wednesday to debate the issue and to hear firsthand from restaurant owners and their representatives. The result of that meeting was a motion put on the agenda for our regular council meeting the next day, Thursday, November 19. This motion recommended, among other directives, that Dr. Hirji rescind the order restricting only household members dine together in restaurants. The motion was passed unanimously by council, but at the time of this writing, Dr. Hirji has taken no action. The health boards of Ontario are separate entities unto themselves, not under the jurisdiction of Regional Council. Therefore, we as a council can recommend, but not instruct, the actions of Dr. Hirji. On the national level it has been decided that the Canada-U.S. border will remain closed, except for essential travellers, until at least December 21. Worst-case scenarios issued by the public health agency of Canada show that Canada could see 60,000 new cases of COVID-19 a day if contact rates continue to increase. British Columbia announced new rules, including mandatory masks for indoor, public, and retail spaces, along with restrictions on social gatherings. In our town, Pelham Cares has now completed three weeks of their five-week food drive, and they are happy to report that the generosity of Pelham residents remains as high as ever, even in these trying times. No surprise there! At Town Hall itself, council was happy to learn that the CAO, along with the CAOs of Fort Erie and Wainfleet, have been successful in hiring a Town solicitor. Her name is Jennifer Stirton, and although she will be a direct employee of the Town of Pelham, all three municipalities will contribute towards her employment costs. This is yet another example of your council reaching out to our neighbours and exploring avenues where mutual savings can be achieved.Mayor Marvin Junkin"
17-Nov-20,"On Friday, Nov. 13, the Ford government moved various municipalities/regions up the colour chart, meaning they would be subject to stricter rules involving businesses staying open and some businesses closing down altogether. Residents will be facing stricter rules regarding movement, and who they are allowed to socialize with. The changes came into effect this Monday, with the exception of Toronto, which moved into the red zone on Saturday. Niagara Region has now been downgraded from yellow (protect) to orange (restrict), Regions in the orange category must abide by stricter rules for contact tracing at bars and restaurants, with no more than four people seated at a table. Sports and recreation facilities cannot have any spectators, other than a parent or guardian supervising children, and all users of the facilities must answer a questionnaire. For full details please see the Public Health website, www.niagararegion.ca/health No sooner had the provincial government made these announcements than the Greater Niagara Chamber of Commerce (GNCC) issued a press release calling for this blanket order to be rescinded, taking note of the particular restriction that only family members living in the same household can sit at the same table when dining out. The GNCC feels that this order is unfairly attacking businesses that have been following all the rules passed down from Public Health, and it is their view that private parties held by residents are the main cause of these super-spreader events that for the most part are causing the surging number of COVID-19 cases, not only provincially but also nationally. I personally received a call from a resident, who works for a winery in Lincoln, who also thought the government was barking up the wrong tree. She relayed to me that last Saturday, while in St. Catharines, she noticed a large house party next door, with very few people wearing masks. When she attempted the report the event to authorities, she was told at each number that she had reached the wrong authority, please try a different number. The third official attempted sent her back to the first, so she just gave up. Upon phoning Niagara Public Health and retelling this story to a nurse, she informed me that the following is the correct number to call when reporting an offence under this order: (905) 688-8248, extension 7590, is available 24/7. Ask for the Environmental Health duty officer. I hesitate to include this number, as I don’t want Pelham to be a place where people are phoning the authorities about their neighbours. Instead, I hope that everyone acts responsibly from the start because it is the right thing to do. It should also be noted that when a region moves into the orange category, enforcement is stepped up and fines, not warnings, will be the norm. Although the cooler weather is upon us, health officials are stressing that it is still very important to get outside for exercise and fresh air, and to eat a healthy diet. Keeping fit and eating healthy is always a good thing, but even more important in these times. A special thank you to everyone at the Fonthill Legion Branch 613 for holding a Remembrance Day ceremony even in these difficult days, allowing the residents of Pelham the opportunity to pay their respects to those who have served and those who continue to serve our great nation. It was my privilege to be a small part of the ceremony. Thanks to everyone involved. Until next time…Mayor Marvin Junkin"
10-Nov-20,"Lots going on across the country concerning COVID-19, but first we will look at the numbers on the home front. As of Saturday, Pelham had ten active cases. There were 231 active cases across the Region, and 18 active outbreaks. Last week saw the continuing second-wave climb, with double-digit increases daily, with 34 cases on Saturday alone. Seven percent are hospitalized, and just under two percent are in intensive care. The Niagara Region moved to “yellow-protect” level as of 12:01 AM on Saturday. This is part of the provincial government’s colour-coded levels of enforcement. First-and most lenient is green: Prevent. Next yellow: Protect. Orange: restrict. Red: control. And finally the strictest is: Lockdown. Although our hospitalizations are low, our rising daily numbers have caused us to be downgraded from the green to yellow. Going into yellow, among other restrictions, means that in restaurants only six people can be seated at any one time at a table, with contact information collected from everyone seated. Re c r e at ional programs are limited to ten people indoors, and 25 outdoors. For complete list of rules, please go to niagararegion.ca/health  On the national scene, Canada somewhat belatedly followed the WHO and the US in acknowledging aerosol transmission of coronavirus. Before this, the Public Health Agency of Canada stated that COVID-19 was “most commonly” spread through touching a contaminated surface, or having close contact with an infected person who passed the virus along through droplets when they spoke or coughed. These large droplets are thought to fall rather quickly to the ground. It now recognises that there are smaller droplets involved—aerosols that can linger in the air, in some instances for as long as 20 minutes. A good friend of mine, Lou Damm, sent me a You Tube video back in early summer, featuring a research team in Japan creating various sized droplets and recording the time they hung in the air. It was an eye-opening video, stressing that one could be walking down an empty hallway, and still be breathing in these small droplets. In recognizing these aerosols, the agency is now recommending a three-layer mask. Concerning Town affairs, budget discussions continue to dominate council business, with council members reviewing the budget proposals brought forward by staff. In talking with various councillors, I believe there will be a few cuts recommended to staff. When traveling from farm to Town Hall, I usually traverse Haist Street north. It was great to see the hilly part of this road repaved this week! I’m sure the numerous walkers that I see on this section of road will appreciate the smoother surface as much as all other users. Until next time…Mayor Marvin Junkin"
03-Nov-20,"The hardest part that political authorities have in trying to control this pandemic is that on any one aspect of this event, there are usually three or four prominent scientists taking opposite positions on courses of action. It is hard to believe now, but at the beginning of this pandemic most western public health officials were not advocating masks, even when at that time, eastern countries such as Korea were insisting that their usage was a big part of their plan to control the virus. By the time we were two months into the pandemic, most, if not all jurisdictions in North America were recommending their use, if social distancing were not possible. Now of course, in Ontario, like many other areas in Canada, you must use a face covering in public indoor spaces. In B.C., that province has so far resisted calls to make masks ma nd a t or y, although a family doctor in Burnaby B.C. is asking for a court injunction to require the practice. A sister of mine, who is 78 years of age, and who lives close to Nelson, B.C., was recently telling me that on a shopping trip to that town, she was the only one in the stores wearing a mask. Of course, it could be argued that by its geographical distance from any large city, Nelson is in its own “bubble.” It will be interesting to see if indeed the province does go to mandatory mask wearing. On the Town front, at Monday night’s council meeting I will have presented a motion that, if passed by the majority of council, will instruct Town staff to do a technical review of all aspects of the Rice Road, Highway 20 storm water management pond. I requested this because of severe erosion occurring just north of Highway 20 due to the extreme force of the water exiting the pond. This erosion is carrying silt from this location and depositing it all along the downstream waterway, damaging the habitat of wildlife and fish living in the Niagara Region’s only remaining year-round flowing cold water stream. If this council has any concerns for the environment, and I believe it does, then we cannot treat this jewel located within our boundaries simply as a drainage ditch. Furthermore, this is the third storm water management pond that the Town has had to deal with erosion problems. As these are engineered ponds it is disheartening that the Town is having to spend money to fix these erosion problems, which should not be occurring in the first place. Until next time…Mayor Marvin Junkin"
27-Oct-20,"Realizing that this is getting to sound repetitive, which is a good thing, the Region’s COVID-19 numbers continue to shine. For the week of October 11- 17, Pelham had an increase of two cases, bringing us up to three. All of these cases are practicing home isolation. At the Regional level, for the week there were 56 new cases (plus 36 more cases over the weekend), with 89 percent recovering at home, eight percent were hospitalized, and 2.3% were in intensive care. Also last week, Public Health estimated 5000 to 6000 tests were completed, with positive results found in fewer than five percent of the total number tested. As a point of interest, just to the west of us, the City of Hamilton has 668 hospital beds reserved for COVID-19 patients, and at the time of this writing, only eight were occupied. That there is that much of a cushion is great news, and it shows us that individual behaviour is working to achieve these results. On the very good news front, there were two studies published last week, both peer-reviewed, so therefore deemed creditable, stating that ICU mortality levels for COVID-19 patients has fallen dramatically. They found that, back in March, the mortality rate for any COVID-19 patient was 25 percent—i.e., the patient had a one in four chance of dying. As of August 7, the mortality rate for this same type of patient was then 7.1 percent, a decrease of 18 percent. This huge decrease in such a relatively short amount of time is a credit to doctors having a better idea of what method of treatment works the best, along with the best pharmaceuticals to use in any given instance. This is one of many factors that, even though the number of cases is rising, lead to the mortality numbers remaining relatively low. I have always been a firm believer in modern science, and once again this discipline is at the forefront of our battle with this virus. Although a vaccine may not be imminent, with all the people and companies, and with the resources they represent, in search of a viable vaccine, many experts assert that this goal will be achieved early in the new year. Following its discovery, when it does happen, the next problem is the logistics of deployment. Oh well, one step at a time… On the Town front, with the rainy days of last week, the indoor walking track at the community centre was in high demand. Staff a re allowing 24 residents at a time on the track, with would-be users having to phone ahead to reserve their spot. Of course, face masks must be worn while using the track. Until next time…Mayor Marvin Junkin"
20-Oct-20,"While areas on the north shore of Lake Ontario continue to see rising COVID-19 numbers, Niagara numbers remain impressive. For the period of Oct 4 to 11, Pelham’s numbers were static, with two active cases, and one new case. None of these cases required hospitalization, with these residents self-isolating at home. For the same period, the Niagara Region as a whole had 86 new cases, joining the 82 active cases. As stated earlier, these numbers are remarkable, when one hears that on this past Friday alone, Toronto registered 213 new cases for the day, with Peel Region showing 135, and Ottawa showing 108. Niagara Health had between 7000 and 8000 tests performed for this week, the percent of positive cases being well below the target of 5%. As the numbers continue their rapid increase in the Toronto area, the Province has decided to move York Region to a modified Stage 2 for at least 28 days, which started Monday. York now joins Toronto, Peel, and Ottawa in the closing of indoor dining, gyms, cinemas, and casinos, as well as placing limits to ten people indoors and 25 outdoors. In the above areas, high critical-care admissions to their hospitals are a major concern to the authorities. Niagara Region will continue in Stage 3, because of our low new case numbers, and very low COVID-19 hospitalisation. Authorities believe that one reason why Niagara’s numbers remain low is that residents are restricting the number of trips they are taking outside the Region, and of course, the cooler weather has effectively eliminated outsiders from travelling to Niagara’s beaches. Residents must continue to do their part to keep new infections to the minimum—frequent hand washing, use hand sanitizers when they are made available while out and about, and when social distancing is not possible wear a mask. Of course masks must be worn indoors when visiting businesses or in any public buildings.Mayor Marvin Junkin"
